Date,250092006_1,250092006_3,250095005_1,250095005_3,250096001_1,250213003_3,250230005_1,250230005_2,250230005_3,250250002_1,250250042_1,250250042_3,250250043_1,250250043_2,250250043_3,250250044_1,250250044_3,250250044_4,330150014_1,330150014_6,330150018_1,330150018_2,330150018_3,330150018_4
4/27/2016,4,5.6,3.9,4.4,,,3,,3.4,1.4,4.2,5,5.7,5.9,4.9,7,9.6,10.6,,4.4,2.9,,2.6,2.5
4/30/2016,3.9,5,4.6,4.3,6.4,,4.5,4.9,3.8,11,5.4,6.6,5.6,,3.1,5.3,2.7,6.4,4.2,3.2,5,5.2,5,
5/3/2016,3.3,2.7,2.2,2.1,4.2,,2.2,2.7,0.6,,3.1,2.3,2.8,2.6,2.7,3.9,3.3,1.7,,2.2,2.5,,2.2,2.3
5/6/2016,2,4.2,,2.2,2,,2.2,3.1,-0.2,3.2,2.6,1.7,2.1,1.8,2.1,2.5,2.5,2.7,1.9,2.3,1.2,1.2,0.5,
5/9/2016,2.7,4.8,2.7,3.3,2.8,,4.6,4.7,-0.3,3.3,2.3,4.2,8.3,6.5,4.5,5,5,5,,2.4,1.7,,1.7,
5/12/2016,7.3,7.4,5.8,7.2,7.9,,9.3,8.3,6.1,10.3,5.6,6.4,8.3,6.5,6.3,7.5,5.4,5.1,4.6,4.6,4.5,4.9,4.5,
5/15/2016,4.7,,4.4,2.5,3.4,,5.1,4,0.4,6.7,3.5,2.5,5.4,5.2,3.7,4.5,3.2,4.2,,1.7,1.7,,2.8,
5/18/2016,4.7,5,4.2,3.9,5,,4.9,4.8,2.5,6.1,4.4,4.4,4,5,3.7,5.4,6.2,5.1,3.2,4.8,3.1,3.1,3.3,
5/24/2016,2.7,4.4,2.9,3.5,3.7,,1.7,1.7,0.9,3.9,3.2,3.2,2.3,3.7,,3.2,,,2.4,4.3,2,2.2,1.4,
5/30/2016,4.5,4.5,4.3,5.1,4.1,,3.2,,6.2,5,6.4,2.8,5,4.6,5.5,5.8,2.7,1.1,3.9,4.1,4.6,,3,
